YIY,Yir Yoront
YKA,Yakan
YKG,"Yukaghir, Northern"
YKI,Yoke
YKK,Yakaikeke
YKM,Yakamul
YKO,Yasa
YKR,Yekora
YKY,Yakoma
YLA,Yaul
YLE,Yele
YLG,Yelogu
YLI,"Yali, Angguruk"
YLL,Yil
YLR,Yalarnnga
YLU,Aribwaung
YLY,Nyâlayu
YMA,Yamphe
YMB,Yambes
YME,Yameo
YMG,Yamongeri
YMI,Yami
YMK,Makwe
YML,Iamalele
YMN,Yamna
YMP,Yamap
YND,Yandruwandha
YNG,Yango
YNH,Yangho
YNK,"Yupik, Naukan"
YNL,Yangulam
YNN,Yana
YNO,Yong
YNS,Yansi
YNU,Yahuna
YOB,Yoba
YOG,Yogad
YOI,Yonaguni
YOK,Yokuts
YOM,Yombe
YON,Yongkom
YOR,Yoruba
YOS,Yos
YOX,Yoron
YOY,Yoy
YPS,Yapese
YRA,Yerakai
YRB,Yareba
YRE,Yaouré
YRI,Yarí
YRK,Nenets
YRL,Nhengatu
YRN,Yerong
YRS,Yarsun
YRW,Yarawata
YSL,Yugoslavian Sign Language
YSR,"Yupik, Sirenik"
YSS,Yessan-mayo
YUA,"Maya, Yucatán"
YUB,Yugambal
YUC,Yuchi
YUD,"Arabic, Judeo-tripolitanian"
YUE,Yuracare
YUF,Havasupai-walapai-yavapai
YUH,"Chinese, Yuh; Cantonese"
YUI,Yuruti
YUJ,Karkar-yuri
YUK,Yuki
YUL,Yulu
YUM,Quechan
YUN,Bena
YUP,Yukpa
YUQ,Yuqui
YUR,Yurok
YUS,"Maya, Chan Santa Cruz"
YUT,Yopno
YUU,Yugh
YUW,Yau
YUX,"Yukaghir, Southern"
YUY,"Yugur, East"
YVA,Yawa
YVT,Yavitero
YWA,Kalou
YWN,Yawanawa
YWR,Yawuru
YWW,Yawarawarga
YYU,Yau
ZAA,"Zapotec, Juárez Sierra"
ZAB,"Zapotec, Guelavia"
ZAC,"Zapotec, Western Ocotlán"
ZAD,"Zapotec, Cajonos"
ZAE,"Zapotec, Yareni"
ZAF,"Zapotec, Ayoquesco"
ZAG,Zaghawa
ZAH,Zangwal
ZAI,"Zapotec, Isthmus"
ZAJ,Zalamo
ZAK,Zanaki
ZAL,Zauzou
ZAM,"Zapotec, Miahuatlán"
ZAN,Zande
ZAO,"Zapotec, Ozolotepec"
ZAP,"Zapotec, Coatecas Altas"
ZAQ,"Zapotec, Aloápam"
ZAR,"Zapotec, Rincón"
ZAS,"Zapotec, Santo Domingo Albarradas"
ZAT,"Zapotec, Tabaa"
ZAU,Zangskari
ZAV,"Zapotec, Yatzachi"
ZAW,"Zapotec, Mitla"
ZAX,"Zapotec, Xadani"
ZAY,Zayse-zergulla
ZAZ,Zari
ZEG,Zenag
ZEN,Zenaga
ZHA,Zhaba
ZHI,Zhire
ZHO,Zhoa
ZIA,Zia
ZIB,Zimbabwe Sign Language
ZIK,Zimakani
ZIM,Mesme
ZIR,Ziriya
ZIW,Zigula
ZIZ,Zizilivakan
ZKA,Kaimbulawa
ZKM,"Kham, Maikoti"
ZKR,Zakhring
ZKS,"Kaingáng, São Paulo"
ZMA,Manda
ZMB,Zimba
ZMC,Margany
ZMD,Maridan
ZME,Mangerr
ZMF,Mfinu
ZMG,Marti Ke
ZMH,Makolkol
ZMI,Negeri Sembilan Malay
ZMJ,Maridjabin
ZMK,Mandandanyi
ZML,Madngele
ZMM,Marimanindji
ZMN,Mbangwe
ZMO,Molo
ZMP,Mpuono
ZMQ,Mituku
ZMR,Maranunggu
ZMS,Mbesa
ZMT,Maringarr
ZMU,Muruwari
ZMV,Mbariman-gudhinma
ZMW,Mbo
ZMX,Bomitaba
ZMY,Mariyedi
ZMZ,Mbandja
ZNA,Zan Gula
ZOC,"Zoque, Copainalá"
ZOH,"Zoque, Chimalapa"
ZOM,Zome
ZOO,"Zapotec, Asunción Mixtepec"
ZOQ,"Zoque, Tabasco"
ZOR,"Zoque, Rayón"
ZOS,"Zoque, Francisco León"
ZPA,"Zapotec, Lachiguiri"
ZPB,"Zapotec, Yautepec"
ZPC,"Zapotec, Choapan"
ZPD,"Zapotec, Southeastern Ixtlán"
ZPE,"Zapotec, Petapa"
ZPF,"Zapotec, San Pedro Quiatoni"
ZPG,"Zapotec, Guevea De Humboldt"
ZPH,"Zapotec, Totomachapan"
ZPI,"Zapotec, Santa María Quiegolani"
ZPJ,"Zapotec, Quiavicuzas"
ZPK,"Zapotec, Tlacolulita"
ZPL,"Zapotec, Lachixio"
ZPM,"Zapotec, Mixtepec"
ZPN,"Zapotec, Santa Inés Yatzechi"
ZPO,"Zapotec, Amatlán"
ZPP,"Zapotec, El Alto"
ZPQ,"Zapotec, Zoogocho"
ZPR,"Zapotec, Santiago Xanica"
ZPS,"Zapotec, Coatlán"
ZPT,"Zapotec, San Vicente Coatlán"
ZPU,"Zapotec, Yalálag"
ZPV,"Zapotec, Chichicapan"
ZPW,"Zapoteo, Zaniza"
ZPX,"Zapotec, San Baltázar Loxicha"
ZPY,"Zapotec, Mazaltepec"
ZPZ,"Zapotec, Texmelucan"
ZRN,Zirenkel
ZRO,Záparo
ZRP,Zarphatic
ZSL,Zambian Sign Language
ZSR,"Zapotec, Rincón Sur"
ZTC,"Zapotec, Lachirioag"
ZTE,"Zapotec, Elotepec"
ZTG,"Zapotec, Xanaguía"
ZTL,"Zapotec, Santiago Lapaguía"
ZTM,"Zapotec, San Agustín Mixtepec"
ZTN,"Zapotec, Santa Catarina Albarradas"
ZTP,"Zapotec, Loxicha"
ZTQ,"Zapotec, Quioquitani and Quierí"
ZTS,"Zapotec, Tilquiapan"
ZTT,"Zapotec, Tejalapan"
ZTU,"Zapotec, Güilá"
ZTX,"Zapotec, Zaachila"
ZTY,"Zapotec, Yatee"
ZUA,Zeem
ZUH,Tokano
ZUM,Kumzari
ZUN,Zuni
ZUU,Zulu
ZUY,Zumaya
ZWA,Zay
ZYO,Zyoba
ZYP,Zyphe
ZZZ,Dimli
AAA,Ghotuo
AAB,Arum-tesu
AAD,Amal
AAE,"Albanian, Arbëreshë"
AAF,Aranadan
AAI,Arifama-miniafia
AAK,Ankave
AIU,Ari
AAL,Afade
AAM,Aramanik
AAN,Anambé
AAO,"Arabic, Algerian Saharan Spoken"
AAP,"Arára, Pará"
AAQ,"Abnaki, Eastern"
AAR,Aariya
AAS,Aasáx
AAT,"Albanian, Arvanitika"
AAW,Solong
AAX,Mandobo Atas
AAZ,Amarasi
ABA,Abé
ABB,Abo
ABC,"Ayta, Ambala"
ABD,"Agta, Camarines Norte"
ABE,"Abnaki, Western"
ABH,"Arabic, Tajiki Spoken"
ABI,Abidji
ABK,Abkhaz
ABL,Abung
ABN,Abua
ABO,Abon
ABP,"Ayta, Abenlen"
ABQ,Abaza
ABR,Abron
ABS,"Malay, Ambonese"
ABT,Ambulas
ABU,Abure
ABV,"Arabic, Standard"
ABX,Inabaknon
ABY,Aneme Wake
ABZ,Abui
ACA,Achagua
ACB,áncá
ACC,"Achí, Cubulco"
ACD,Gikyode
ACE,Aka-bea
ACF,St. Lucian Creole French
ACH,Achumawi
ACI,Aka-cari
ACK,Aka-kora
ACL,Akar-bale
ACM,"Arabic, Mesopotamian Spoken"
ACN,Achang
ACO,Acholi
ACQ,"Arabic, Ta'izzi-adeni Spoken"
ACR,"Achí, Rabinal"
ACS,Acroá
ACT,Achterhoeks
ACU,Achuar-shiwiar
ACW,"Arabic, Hijazi Spoken"
ACX,"Arabic, Omani Spoken"
ACY,"Arabic, Cypriot Spoken"
ACZ,Acheron
ADA,Adonara
ADB,Adabe
ADD,Dzodinka
ADE,Adele
ADF,"Arabic, Dhofari Spoken"
ADG,Andegerebinha
ADH,Adhola
ADI,Adi
ADJ,Adioukrou
ADL,"Adi, Galo"
ADN,Adang
ADO,Abu
ADP,Adap
ADQ,Adangbe
ADS,Adamorobe Sign Language
ADT,Adynyamathanha
ADU,Aduge
ADW,Amundava
ADX,Amdo
ADY,Adyghe
AEA,Areba
AEB,"Arabic, Tunisian Spoken"
AEC,"Arabic, Sa<idi Spoken"
AED,Argentine Sign Language
AEE,"Pashayi, Northeast"
AEK,Haeke
AEL,Ambele
AEM,Arem
AEN,Armenian Sign Language
AEQ,Aer
AER,"Arrernte, Eastern"
AES,Alsea
AEW,Aion
AEX,Amerax
AFA,Pa'a
AFB,"Arabic, Gulf Spoken"
AFE,Putukwam
AFH,"Arabic, Baharna Spoken"
AFI,Akrukay
AFK,Afrikaans
AFN,Defaka
AFO,Eloyi
AFR,Afar
AFS,Afro-seminole Creole
AFT,Afitti
AFU,Awutu
AFZ,Obokuitai
AGA,Aguano
AGB,Legbo
AGC,Agatu
AGD,Agarabi
AGE,Angal
AGF,Arguni
AGG,Angor
AGH,Ngelima
AGI,Agariya
AGJ,Argobba
AGK,"Agta, Isarog"
AGL,Fembe
AGM,Angaatiha
AGN,Agutaynen
AGO,Tainae
AGP,Paranan
AGQ,Aghem
AGR,Aguaruna
AGS,Esimbi
AGT,"Agta, Central Cagayan"
AGU,Aguacateco
AGV,"Agta, Remontado"
AGW,Kahua
AGX,Aghul
AGY,"Alta, Southern"
AGZ,"Agta, Mt. Iriga"
AHA,Ahanta
AHB,Axamb
AHE,Ahe
AHH,Aghu
AHI,"Aizi, Tiagbamrin"
AHL,Igo
AHM,"Aizi, Mobumrin"
AHN,àhàn
AHO,Ahom
AHP,"Aizi, Aproumu"
AHR,Ahirani
AHS,Ashe
AHT,Ahtena
AIA,Arosi
AIB,Ainu
AIC,Ainbai
AID,Alngith
AIE,Amara
AIF,Agi
AIG,Montserat Creole English
AIH,Ai-cham
AII,Assyrian Neo-aramaic
AIJ,Lishanid Noshan
AIK,Ake
AIL,Aimele
AIM,Aimol
AIN,Ainu
AIO,Aiton
AIP,Burumakok
AIQ,Aimaq
AIR,Airoran
AIS,"Amis, Nataoran"
AIT,Arikem
AIY,Ali
AIZ,Aari
AJA,Aja
AJG,Aja
AJI,Ajië
AJP,"Arabic, South Levantine Spoken"
AJT,"Arabic, Judeo-tunisian"
AJU,"Arabic, Judeo-moroccan"
AJW,Ajawa
AKA,Akha
AKB,Batak Angkola
AKC,Mpur
AKD,Ukpet-ehom
AKE,'Akhoe
AKF,Akpa
AKG,Anakalangu
AKH,Angal Heneng
AKI,Aiome
AKJ,Aka-jeru
AKK,Arigidi
AKL,Aklanon
AKM,Aka-bo
AKN,Amikoana
AKO,Akurio
AKP,Siwu
AKQ,Ak
AKR,Araki
AKS,Akaselem
AKT,Akolet
AKU,Akum
AKV,Akhvakh
AKW,Akwa
AKX,Aka-kede
AKY,Aka-kol
AKZ,Alabama
ALA,Alago
ALB,Alaba
ALC,Qawasqar
ALD,Alladian
ALE,Atakapa
ALF,Alege
ALG,Algonquin
ALH,Alawa
ALI,Amaimon
ALJ,Alangan
ALK,Alak
ALL,Allar
ALM,Amblong
ALN,"Albanian, Tosk"
ALO,Larike-wakasihu
ALP,Alune
ALR,Alutor
ALS,"Albanian, Gheg"
ALT,"Altai, Southern"
ALU,'Are'are
ALV,Amis
ALW,Aleut
ALX,Alatil
ALY,Alyawarr
ALZ,Alur
AMA,Amanayé
AMB,Ambo
AMC,Amahuaca
AMD,Amapá Creole
AME,Yanesha'
AMF,Hamer-banna
AMG,Amarag
AMH,Amharic
AMI,Amele
AMJ,Amdang
AMK,Ambai
AML,Amwi
AMM,Ama
AMN,Amanab
AMO,Amo
AMP,Alamblak
AMQ,Amahai
AMR,Amarakaeri
AMS,"Amami-oshima, Southern"
AMT,Amto
AMU,"Amuzgo, Guerrero"
AMV,Ambelau
AMW,Western Neo-aramaic
AMX,Anmatyerre
AMY,Ami
AMZ,Atampaya
ANA,Andaqui
ANB,Andoa
ANC,Ngas
AND,Ansus
ANE,Xârâcùù
ANF,Animere
ANG,Kon Keu
ANH,Nend
ANI,Andi
ANJ,Anor
ANK,Goemai
ANL,Anu
ANM,Anal
ANN,Obolo
ANO,Andoque
ANP,Angika
ANQ,Jarawa
ANR,Andh
ANS,Anserma
ANT,Antakarinya
ANU,Anuak
ANV,Denya
ANW,Anaang
ANX,Andra-hus
ANY,Anyin
ANZ,Anem
AOA,Angolar
AOB,Abom
AOC,Pemon
AOD,Andarum
AOE,Angal Enen
AOF,Bragat
AOG,Angoram
AOH,Arma
AOI,Anindilyakwa
AOJ,Mufian
AOK,Arhö
AOL,Alor
AOM,ömie
AON,"Arapesh, Bumbita"
AOR,Aore
AOS,Taikat
AOT,A'tong
AOX,Atorada
AOZ,Atoni
APA,Apalaí
APB,Sa'a
APC,"Arabic, North Levantine Spoken"
APD,"Arabic, Sudanese Spoken"
APE,Bukiyip
APG,Ampanang
APH,Athpariya
API,Apiacá
APJ,"Apache, Jicarilla"
APK,"Apache, Kiowa"
APL,"Apache, Lipan"
APM,"Apache, Mescalero-chiricahua"
APN,Apinayé
APP,Apma
APQ,A-pucikwar
APR,Arop-lukep
APS,Arop-sissano
APT,Apatani
APU,Apurinã
APW,"Apache, Western"
APX,Aputai
APZ,Safeyoka
AQM,Atohwaim
AQN,"Alta, Northern"
ARA,Arua
ARB,Akawaio
ARC,Archi
ARD,Arabana
ARE,"Arrarnta, Western"
ARF,Arafundi
ARG,Xaragure
ARH,Ica
ARI,Arikara
ARJ,Arapaso
ARK,Arikapú
ARL,Arabela
ARM,Armenian
ARN,Arhâ
ARO,Araona
ARP,Arapaho
ARQ,"Arabic, Algerian Spoken"
ARR,"Arára, Rondônia"
ARS,"Arabic, Najdi Spoken"
ART,Rikbaktsa
ARU,Mapudungun
ARV,Arbore
ARW,Arawak
ARX,Aruá
ARY,"Arabic, Moroccan Spoken"
ARZ,"Arabic, Egyptian Spoken"
ASA,Asu
ASB,Assiniboine
ASC,"Asmat, Casuarina Coast"
ASD,Asas
ASE,American Sign Language
ASF,Australian Sign Language
ASG,Cishingini
ASH,Abishira
ASI,Buruwai
ASJ,Nsari
ASK,Ashkun
ASL,Asilulu
ASM,Assamese
ASN,"Asuriní, Xingú"
ASO,Dano
ASP,Algerian Sign Language
ASQ,Austrian Sign Language
ASR,Asuri
ASS,Ipulo
AST,"Asmat, Central"
ASU,Asuriní
ASV,Asoa
ASW,Australian Aborigines Sign Language
ASX,Muratayak
ASY,"Asmat, Yaosakor"
ASZ,As
ATA,Pele-ata
ATB,Zaiwa
ATC,Atsahuaca
ATD,"Manobo, Ata"
ATE,Atemble
ATF,Atuence
ATG,Ivbie North-okpela-arhe
ATH,"Atta, Faire"
ATI,Attié
ATJ,Aceh
ATK,Ati
ATL,"Agta, Mt. Iraya"
ATM,Ata
ATN,Ashtiani
ATO,Atong
ATP,"Atta, Pudtol"
ATQ,Aralle-tabulahan
ATR,Atruahí
ATS,Gros Ventre
ATT,"Atta, Pamplona"
ATU,Reel
ATV,"Altai, Northern"
ATW,Atsugewi
ATX,Arutani
ATY,Aneityum
ATZ,Arta
AUA,Asumboa
AUB,Asturian
AUC,Waorani
AUD,Anuta
AUE,=/Kx'au//'ein
AUG,Aguna
AUH,Aushi
AUI,Anuki
AUJ,Awjilah
AUK,Heyo
AUL,Aulua
AUM,Asu
AUN,"One, Molmo"
AUO,Auyokawa
AUP,Makayam
AUQ,Anus
AUR,Aruek
AUS,Aushiri
AUT,Austral
AUU,Auye
AUV,Auvergnat
AUW,Awyi
AUX,Aura
AUY,Awiyaana
AUZ,"Arabic, Uzbeki Spoken"
AVA,Avatime
AVB,Avau
AVD,Alviri-vidari
AVE,Haveke
AVI,Avikam
AVL,"Arabic, Eastern Egyptian Bedawi Spoken"
AVO,Agavotaguerra
AVR,Avar
AVS,Avestan
AVT,Au
AVU,Avokaya
AVV,Avá-canoeiro
AWA,"Acipa, Eastern"
AWB,Awa
AWC,"Acipa, Western"
AWD,Awadhi
AWE,Awetí
AWH,Awbono
AWI,Aekyom
AWK,Awabakal
AWM,Arawum
AWN,Awngi
AWO,Awak
AWR,Awera
AWS,"Awyu, South"
AWT,Araweté
AWU,"Awyu, Central"
AWV,"Awyu, Jair"
AWW,Awun
AWX,Awara
AWY,"Awyu, Edera"
AXB,Abipon
AXG,"Arára, Mato Grosso"
AXK,Yaka
AXX,Aragonese
AYA,Awar
AYB,"Gbe, Ayizo"
AYC,"Aymara, Southern"
AYD,Ayabadhu
AYE,Ayere
AYG,Ginyanga
AYH,"Arabic, Hadrami Spoken"
AYI,Leyigha
AYL,"Arabic, Libyan Spoken"
AYM,"Aymara, Central"
AYN,"Arabic, Sanaani Spoken"
AYO,Ayoreo
AYP,"Arabic, North Mesopotamian Spoken"
AYS,"Ayta, Sorsogon"
AYT,"Ayta, Bataan"
AYU,Ayu
AYX,Ayi
AYY,"Ayta, Tayabas"
AYZ,Mai Brat
AZB,"Azerbaijani, South"
AZE,"Azerbaijani, North"
AZG,"Amuzgo, San Pedro Amuzgos"
AZM,"Amuzgo, Ipalapa"
AZO,Awing
AZR,Adzera
AZZ,"Náhuatl, Sierra Puebla"
BAA,Basaa
BAB,Bainouk-gunyuño
BAC,Badui
BAD,Eritai
BAE,Baré
BAF,Nubaca
BAG,Tuki
BAH,Bahamas Creole English
BAI,Baniwa
BAJ,Barakai
BAK,Bakwé
BAL,"Malay, Baba"
BAM,Bacama
BAN,Yemba
BAO,Waimaha
BAP,Bantawa
BAQ,Babatana
BAR,Bavarian
BAS,Bassa
BAT,Bekati'
BAU,Bada
BAV,Vengo
BAW,Bambili
BAX,Bamun
BAY,Batuley
BAZ,Tunen
BBA,Baatonum
BBB,Baruga
BBC,Batak Toba
BBD,Bau
BBE,Bangba
BBF,Baibai
BBG,Barama
BBH,Bugan
BBI,Barombi
BBJ,Ghomálá'
BBK,Babanki
BBL,Bats
BBM,Babango
BBN,Uneapa
BBO,"Bobo Madaré, Northern"
BBP,"Banda, West Central"
BBQ,Bamali
BBR,Girawa
BBS,Bakpinka
BBT,Mburku
BBU,Kulung
BBV,Karnai
BBW,Baba
BBX,Bubia
BBY,Befang
BBZ,"Arabic, Babalia Creole"
BCA,Barai
BCB,Bainouk-samik
BCC,"Balochi, Southern"
BCD,"Babar, North"
BCE,Bamenyam
BCF,Bamu
BCG,Baga Binari
BCH,Bariai
BCI,Baoulé
BCJ,Bardi
BCK,Bunaba
BCL,Aigon
BCM,Bannoni
BCN,Bali
BCO,Kaluli
BCP,Bali
BCQ,Bench
BCR,Babine
BCS,Kohumono
BCT,Bendi
BCU,Awad Bing
BCV,Shoo-minda-nye
BCW,Bana
BCX,Pamona
BCY,Bislama
BCZ,Bainouk-gunyaamolo
BDA,Bayot
BDB,Basap
BDC,Emberá-baudó
BDD,Bunama
BDE,Bade
BDF,Behdini
BDG,Bonggi
BDH,Baka
BDI,Burun
BDJ,Bai
BDK,Budukh
BDL,"Bajau, Indonesian"
BDM,Buduma
BDN,Baldemu
BDO,Bernde
BDP,Bende
BDQ,Bahnar
BDR,"Bajau, West Coast"
BDS,Burunge
BDT,Bokoto
BDU,Bakundu-balue
BDV,Bodo Parja
BDW,Baham
BDY,Bandjalang
BDZ,Badeshi
BEA,Beaver
BEB,Bebele
BEC,Iceve-maci
BED,Bedoanas
BEE,Byangsi
BEF,Benabena
BEG,Belait
BEH,Biali
BEI,Bedawi
BEJ,Beembe
BEK,Bebeli
BEL,Bella Coola
BEM,Bemba
BEN,Benga
BEO,Beami
BEP,Besoa
BER,Berik
BES,Besme
BET,"Béte, Guiberoua"
BEU,Blagar
BEV,"Bété, Daloa"
BEW,Betawi
BEX,Jur Modo
BEY,Beli
BEZ,Bena
BFA,Bari
BFB,"Bareli, Barli"
BFD,Bafut
BFE,Betaf
BFF,Bofi
BFG,"Kayan, Busang"
BFJ,Bafanji
BFL,Banda-ndélé
BFM,Mmen
BFO,"Birifor, Malba"
BFQ,Badaga
BFR,Bazigar
BFS,Braj Bhasha
BFT,Balti
BFU,Gahri
BFW,Bondo
BFY,Bagheli
BFZ,"Pahari, Mahasu"
BGA,Gwamhi-wuri
BGB,Bobongko
BGC,Haryanvi
BGD,"Bareli, Rathwi"
BGE,Bauria
BGF,Bangandu
BGG,Bugun
BGH,Bogan
BGI,Giangan
BGJ,Bangolan
BGK,Bit
BGL,Bo
BGM,Baga Mboteni
BGN,"Balochi, Western"
BGO,Baga Koga
BGP,"Balochi, Eastern"
BGQ,Bagri
BGR,"Chin, Bawm"
BGS,"Manobo, Tagabawa"
BGT,Bughotu
BGU,Mbongno
BGV,Warkay-bipim
BGW,Bhatri
BGX,Balkan Gagauz Turkish
BGY,Benggoi
BGZ,Banggai
BHA,Bharia
BHB,Bhili
BHD,Bhadrawahi
BHE,Bhaya
BHF,Busa
BHG,Binandere
BHH,Bukharic
BHI,Bhilali
BHJ,Bhojpuri
BHK,"Bicolano, Albay"
BHL,Bimin
BHN,Bohtan Neo-aramaic
BHO,British Sign Language
BHP,Bima
BHQ,Tukang Besi South
BHR,"Malagasy, Bara"
BHS,Buwal
BHT,Bhattiyali
BHU,Bhunjia
BHV,Bahau
BHW,Biak
BHX,Bhalay
BHZ,Bada
BIA,Badimaya
BIB,Bissa
BIC,Bikaru
BID,Bidiyo
BIE,Bepour
BIF,Biafada
BIG,Biangai
BII,Bisu
BIJ,Vaghat-ya-bijim-legeri
BIK,"Blaan, Koronadal"
BIL,Bile
BIM,Bimoba
BIN,Binji
BIO,Nai
BIP,Bila
BIQ,Bipi
BIR,Bisorio
BIS,"Blaan, Sarangani"
BIT,Bitara
BIU,Biete
BIV,"Birifor, Southern"
BIW,Kol
BIX,Bijori
BIY,Birhor
BIZ,Baloi
BJA,Budza
BJB,Banggarla
BJC,Bariji
BJD,Bandjigali
BJE,Biao-jiao Mien
BJF,Bijil Neo-aramaic
BJG,Bidyogo
BJH,Bahinemo
BJI,Burji
BJJ,Kanauji
BJK,Barok
BJL,Bulu
BJM,Bajelan
BJN,Banjar
BJO,"Banda, Mid-southern"
BJQ,"Malagasy, Southern Betsimisaraka"
BJR,Binumarien
BJS,Bajan
BJT,Balanta-ganja
BJU,Busuu
BJY,Bayali
BKA,Kyak
BKB,"Bontoc, Eastern"
BKC,Baka
BKD,Binukid
BKE,Bengkulu
BKF,Beeke
BKG,Buraka
BKH,Bakoko
BKI,Baki
BKJ,Pande
BKK,Brokskat
BKL,"Bicolano, Central"
BKM,Kom
BKN,Bukitan
BKO,Kwa'
BKP,Boko
BKQ,Bakairí
BKR,Bakumpai
BKS,"Sorsogon, Masbate"
BKT,Boloki
BKU,Buhid
BKV,Bekwarra
BKW,Bekwel
BKX,Baikeno
BKY,Bokyi
BKZ,Bungku
BLA,Ban Khor Sign Language
BLB,Bilua
BLC,Blackfoot
BLD,Bolango
BLE,Balanta-kentohe
BLF,Buol
BLG,Bulgarian
BLH,Kuwaa
BLI,Bolia
BLJ,Bolongan
BLK,"Karen, Pa'o"
BLL,Biloxi
BLM,Beli
BLN,"Bicolano, Southern Catanduanes"
BLO,Anii
BLP,Blablanga
BLQ,Baluan-pam
BLR,Blang
BLS,Balaesang
BLT,Tai Dam
BLU,Hmong Njua
BLV,Bolo
BLW,Balangao
BLX,"Ayta, Mag-indi"
BLY,Norte
BLZ,Balantak
BMA,Lame
BMB,Bembe
BMC,Biem
BMD,Baga Manduri
BME,Bomassa
BMF,Bom
BMG,Bamwe
BMH,Kein
BMI,Bagirmi
BMJ,Bote-majhi
BMK,Ghayavi
BML,Bomboli
BMM,"Malagasy, Northern Betsimisaraka"
BMN,Bina
BMO,Bambalang
BMP,Bulgebi
BMQ,Bomu
BMR,Muinane
BMS,Burmese
BMT,Biao Mien
BMU,Burum-mindik
BMV,Bum
BMW,Bomwali
BMX,Baimak
BMY,Bemba
BMZ,Baramu
BNA,Bonerate
BNB,Baukan
BNC,"Bontoc, Central"
BND,Banda
BNE,Bintauna
BNF,Masiwang
BNG,Bengali
BNH,Banawá
BNI,Bangi
BNJ,"Tawbuid, Eastern"
BNK,Bierebo
BNL,Boon
BNM,Batanga
BNN,Bunun
BNO,Bantoanon
BNP,Bola
BNQ,Bantik
BNR,Butmas-tur
BNS,Bundeli
BNT,Touo
BNU,Bentong
BNV,Bonerif
BNW,Bisis
BNX,Bangubangu
BNY,Bintulu
BNZ,Beezen
BOA,Bora
BOB,Boni
BOC,"Kenyah, Bakung"
BOD,Boga
BOE,Mundabli
BOF,Bolon
BOG,Bamako Sign Language
BOH,Boma
BOI,Barbareño
BOJ,Anjam
BOK,Bonjo
BOL,Bole
BOM,Berom
BOO,"Bozo, Tièma Cièwè"
BOP,Bonkiman
BOQ,Bogaya
BOR,Borôro
BOS,Boselewa
BOT,Bongo
BOU,Bondei
BOV,Tuwili
BOW,Rema
BOX,Buamu
BOY,Bodo
BOZ,"Bozo, Tiéyaxo"
BPA,Dakaka
BPB,Barbacoas
BPD,Banda-banda
BPG,Bonggo
BPH,Botlikh
BPI,Bagupi
BPK,Orowe
BPL,Broome Pearling Lugger Pidgin
BPM,Biyom
BPN,Ba Pai
BPO,Anasi
BPP,Kaure
BPQ,"Malay, Banda"
BPR,Bugis
BPT,Barrow Point
BPU,Bongu
BPV,"Marind, Bian"
BPW,Bo
BPX,"Bareli, Palya"
BPY,Bishnupria Manipuri
BQA,Tchumbuli
BQB,Bagusa
BQC,Boko
BQD,Bung
BQE,"Basque, Navarro-labourdin"
BQF,Baga Kaloum
BQG,Bago-Kusuntu
BQH,Baima
BQI,Bhilori
BQJ,Bandial
BQK,Banda-mbrès
BQL,Bilakura
BQM,Wumboko
BQN,Bulgarian Sign Language
BQO,Balo
BQP,Busa
BQQ,Biritai
BQR,Burusu
BQS,Bosngun
BQT,Bamukumbit
BQU,Boguru
BQV,Begbere-ejar
BQW,Buru
BQX,Baangi
BQY,Bali Sign Language
BQZ,Bakaka
BRA,"Bamanankan, Bambara"
BRB,Lave
BRC,Berbice Creole Dutch
BRD,Baraamu
BRE,Bitare
BRF,Bera
BRG,Baure
BRH,Brahui
BRI,Mokpwe
BRJ,Bieria
BRK,Birked
BRL,Birwa
BRM,Barambu
BRN,Boruca
BRO,Brokkat
BRP,Barapasi
BRQ,Breri
BRR,Birao
BRS,Baras
BRT,Breton
BRU,"Bru, Eastern"
BRV,"Bru, Western"
BRW,Bellari
BRX,Bodo
BRY,Burui
BRZ,Bilbil
BSA,Abinomn
BSB,"Bisaya, Brunei"
BSC,Basari
BSD,"Bisaya, Sarawak"
BSE,Wushi
BSF,Bauchi
BSG,Bashkardi
BSH,Kati
BSI,Bassossi
BSJ,Bangwinji
BSK,Burushaski
BSL,Basa-gumna
BSM,Busami
BSN,Barasana
BSO,Buso
BSP,Baga Sitemu
BSQ,Basque
BSR,Bassa-kontagora
BSS,Akoose
BST,Basketo
BSU,Bahonsuai
BSV,Baga Sobané
BSW,Baiso
BSX,Yangkam
BSY,"Bisaya, Sabah"
BSZ,"Basque, Souletin"
BTA,Bata
BTB,Beti
BTC,Bati
BTD,Batak Dairi
BTE,Gamo-ningi
BTF,Birgit
BTG,"Bété, Gagnoa"
BTH,Biatah
BTI,Burate
BTJ,"Malay, Bacanese"
BTK,Batak
BTL,Bhatola
BTM,Batak Mandailing
BTN,Ratagnon
BTO,"Bicolano, Iriga"
BTP,Budibud
BTQ,Batek
BTR,Baetora
BTS,Batak Simalungun
BTT,Bete-bendi
BTU,Batu
BTV,Bateri
BTW,Butuanon
BTX,Batak Karo
BTY,Bobot
BTZ,Batak Alas-kluet
BUA,Bunak
BUB,Bua
BUC,Bushi
BUD,Ntcham
BUE,Beothuk
BUF,Bushoong
BUG,Balau
BUH,"Bunu, Younuo"
BUI,Bongili
BUJ,Basa-gurmana
BUK,Bugawac
BUL,Bukusu
BUM,Bulu
BUN,Sherbro
BUO,Terei
BUP,Busoa
BUQ,Brem
BUR,Bura-pabir
BUS,Bokobaru
BUT,Bungain
BUU,Budu
BUV,Bun
BUW,Bubi
BUX,Boghom
